Gene	M	P.SKAT
1004	TESK2	1	NA
1005	AKR1A1	1	NA
1006	CCDC17	1	NA
1007	IPP	1	NA
1008	PIK3R3	1	NA
1009	POMGNT1	1	NA
1010	FAAH	1	NA
1011	MOB3C	1	NA
1012	EFCAB14	1	NA
1013	CYP4X1	1	NA
1014	CYP4Z1	1	NA
1015	SLC5A9	1	NA
1016	C1orf185	1	NA
1017	FAM159A	1	NA
1018	SLC1A7	1	NA
1019	YIPF1	1	NA
1020	CDCP2	1	NA
1021	MROH7	1	NA
1022	TTC4	1	NA
1023	C1orf177	1	NA
1024	C1orf168	1	NA
1025	C8B	1	NA
1026	NFIA	1	NA
1027	KANK4	1	NA
1028	ITGB3BP	1	NA
1029	EFCAB7	1	NA
1030	PGM1	1	NA
1031	ROR1	1	NA
1032	UBE2U	1	NA
1033	TCTEX1D1	1	NA
1034	C1orf141	1	NA
1035	LRRC40	1	NA
1036	PTGER3	1	NA
1037	C1orf173	1	NA
1038	SLC44A5	1	NA
1039	FAM73A	1	NA
1040	IFI44L	1	NA
1041	DNASE2B	1	NA
1042	RPF1	1	NA
1043	CTBS	1	NA
1044	LPAR3	1	NA
1045	WDR63	1	NA
1046	CYR61	1	NA
1047	COL24A1	1	NA
1048	CLCA2	1	NA
1049	CLCA1	1	NA
1050	CLCA4	1	NA
1051	CLCA3P	1	NA
1052	GBP1	1	NA
1053	GBP7	1	NA
1054	HFM1	1	NA
1055	RPAP2	1	NA
1056	EVI5	1	NA
1057	CCDC18	1	NA
1058	DNTTIP2	1	NA
1059	ARHGAP29	1	NA
1060	TRMT13	1	NA
1061	DBT	1	NA
1062	HENMT1	1	NA
1063	AKNAD1	1	NA
1064	PSRC1	1	NA
1065	MYBPHL	1	NA
1066	CYB561D1	1	NA
1067	AMPD2	1	NA
1068	GSTM4	1	NA
1069	GSTM3	1	NA
1070	EPS8L3	1	NA
1071	AP4B1	1	NA
1072	DCLRE1B	1	NA
1073	OLFML3	1	NA
1074	AMPD1	1	NA
1075	CD101	1	NA
1076	TRIM45	1	NA
1077	GDAP2	1	NA
1078	ADAM30	1	NA
1079	FCGR1B	1	NA
1080	AL592284.1	1	NA
1081	ITGA10	1	NA
1082	POLR3C	1	NA
1083	CD160	1	NA
1084	PDZK1	1	NA
1085	NBPF20	1	NA
1086	NBPF15	1	NA
1087	MTMR11	1	NA
1088	OTUD7B	1	NA
1089	RPRD2	1	NA
1090	TARS2	1	NA
1091	ADAMTSL4	1	NA
1092	ANXA9	1	NA
1093	FAM63A	1	NA
1094	PRUNE	1	NA
1095	C1orf56	1	NA
1096	PSMB4	1	NA
1097	SNX27	1	NA
1098	TCHHL1	1	NA
1099	HRNR	1	NA
1100	FLG2	1	NA
1101	LCE1D	1	NA
1102	LELP1	1	NA
1103	PGLYRP4	1	NA
1104	S100A3	1	NA
1105	S100A1	1	NA
1106	CHTOP	1	NA
1107	SLC27A3	1	NA
1108	CREB3L4	1	NA
1109	C1orf189	1	NA
1110	HAX1	1	NA
1111	SHE	1	NA
1112	DCST2	1	NA
1113	DCST1	1	NA
1114	ADAM15	1	NA
1115	EFNA3	1	NA
1116	THBS3	1	NA
1117	GBA	1	NA
1118	FAM189B	1	NA
1119	YY1AP1	1	NA
1120	KIAA0907	1	NA
1121	RAB25	1	NA
1122	SEMA4A	1	NA
1123	IQGAP3	1	NA
1124	APOA1BP	1	NA
1125	BCAN	1	NA
1126	ETV3L	1	NA
1127	FCRL4	1	NA
1128	CD5L	1	NA
1129	CD1B	1	NA
1130	OR10T2	1	NA
1131	OR10K2	1	NA
1132	OR10R2	1	NA
1133	OR6Y1	1	NA
1134	OR10X1	1	NA
1135	OR10Z1	1	NA
1136	OR6K6	1	NA
1137	OR6N2	1	NA
1138	MNDA	1	NA
1139	AIM2	1	NA
1140	APCS	1	NA
1141	FCRL6	1	NA
1142	SLAMF8	1	NA
1143	CCDC19	1	NA
1144	CD244	1	NA
1145	ITLN2	1	NA
1146	NIT1	1	NA
1147	PPOX	1	NA
1148	C1orf192	1	NA
1149	FCGR2A	1	NA
1150	OLFML2B	1	NA
1151	C1orf110	1	NA
1152	FMO9P	1	NA
1153	ADCY10	1	NA
1154	TBX19	1	NA
1155	PRRC2C	1	NA
1156	C1orf105	1	NA
1157	SUCO	1	NA
1158	PRDX6	1	NA
1159	KLHL20	1	NA
1160	KIAA0040	1	NA
1161	PAPPA2	1	NA
1162	C1orf220	1	NA
1163	ABL2	1	NA
1164	AXDND1	1	NA
1165	CACNA1E	1	NA
1166	ZNF648	1	NA
1167	COLGALT2	1	NA
1168	HMCN1	1	NA
1169	C1orf27	1	NA
1170	RGS18	1	NA
1171	TROVE2	1	NA
1172	CFHR3	1	NA
1173	CFHR2	1	NA
1174	CFHR5	1	NA
1175	CRB1	1	NA
1176	PTPRC	1	NA
1177	DDX59	1	NA
1178	LAD1	1	NA
1179	PTPN7	1	NA
1180	UBE2T	1	NA
1181	CHIT1	1	NA
1182	IL20	1	NA
1183	C1orf116	1	NA
1184	PFKFB2	1	NA
1185	CR2	1	NA
1186	CR1	1	NA
1187	C1orf132	1	NA
1188	PLXNA2	1	NA
1189	LAMB3	1	NA
1190	DTL	1	NA
1191	PPP2R5A	1	NA
1192	TMEM206	1	NA
1193	FAM71A	1	NA
1194	ANGEL2	1	NA
1195	RRP15	1	NA
1196	FAM177B	1	NA
1197	TLR5	1	NA
1198	ENAH	1	NA
1199	ZNF678	1	NA
1200	ARV1	1	NA
1201	PCNXL2	1	NA
1202	RBM34	1	NA
1203	TBCE	1	NA
1204	B3GALNT2	1	NA
1205	GPR137B	1	NA
1206	LGALS8	1	NA
1207	HEATR1	1	NA
1208	SDCCAG8	1	NA
1209	ADSS	1	NA
1210	HNRNPU	1	NA
1211	KIF26B	1	NA
1212	ZNF695	1	NA
1213	ZNF670	1	NA
1214	OR2B11	1	NA
1215	GCSAML	1	NA
1216	OR2G2	1	NA
1217	OR6F1	1	NA
1218	OR14K1	1	NA
1219	TRIM58	1	NA
1220	OR2AK2	1	NA
1221	OR14C36	1	NA
1222	OR2T11	1	NA
1223	OR2T27	1	NA
1224	LYPD8	1	NA
1225	SNTG2	1	NA
1226	TRAPPC12	1	NA
1227	ALLC	1	NA
1228	RNF144A	1	NA
1229	KIDINS220	1	NA
1230	ITGB1BP1	1	NA
1231	TAF1B	1	NA
1232	LPIN1	1	NA
1233	NBAS	1	NA
1234	SMC6	1	NA
1235	GEN1	1	NA
1236	NT5C1B	1	NA
1237	TTC32	1	NA
1238	TP53I3	1	NA
1239	ITSN2	1	NA
1240	DNMT3A	1	NA
1241	GPR113	1	NA
1242	ABHD1	1	NA
1243	PREB	1	NA
1244	C2orf53	1	NA
1245	ATRAID	1	NA
1246	TRIM54	1	NA
1247	IFT172	1	NA
1248	CCDC121	1	NA
1249	GPN1	1	NA
1250	SPDYA	1	NA
1251	C2orf71	1	NA
1252	ALK	1	NA
1253	LCLAT1	1	NA
1254	SLC30A6	1	NA
1255	FEZ2	1	NA
1256	VIT	1	NA
1257	EIF2AK2	1	NA
1258	SULT6B1	1	NA
1259	NDUFAF7	1	NA
1260	DHX57	1	NA
1261	C2orf91	1	NA
1262	THADA	1	NA
1263	ABCG5	1	NA
1264	PPM1B	1	NA
1265	PREPL	1	NA
1266	SIX3	1	NA
1267	SRBD1	1	NA
1268	EPAS1	1	NA
1269	LINC01118	1	NA
1270	KCNK12	1	NA
1271	MSH6	1	NA
1272	FSHR	1	NA
1273	GPR75-ASB3	1	NA
1274	TSPYL6	1	NA
1275	CLHC1	1	NA
1276	FANCL	1	NA
1277	PUS10	1	NA
1278	FAM161A	1	NA
1279	APLF	1	NA
1280	FAM136A	1	NA
1281	CLEC4F	1	NA
1282	CD207	1	NA
1283	ANKRD53	1	NA
1284	TEX261	1	NA
1285	EXOC6B	1	NA
1286	WDR54	1	NA
1287	TTC31	1	NA
1288	AUP1	1	NA
1289	LOXL3	1	NA
1290	M1AP	1	NA
1291	MRPL19	1	NA
1292	DNAH6	1	NA
1293	TGOLN2	1	NA
1294	GGCX	1	NA
1295	VAMP5	1	NA
1296	C2orf68	1	NA
1297	RNF103	1	NA
1298	RGPD1	1	NA
1299	IGKC	1	NA
1300	AC096579.7	1	NA
1301	IGKV1-5	1	NA
1302	IGKV1-9	1	NA
1303	IGKV1D-8	1	NA
1304	ZNF514	1	NA
1305	PROM2	1	NA
1306	SEMA4C	1	NA
1307	FAHD2B	1	NA
1308	AC092675.3	1	NA
1309	CNGA3	1	NA
1310	UNC50	1	NA
1311	LYG1	1	NA
1312	EIF5B	1	NA
1313	RFX8	1	NA
1314	IL1R2	1	NA
1315	IL1RL1	1	NA
1316	IL18RAP	1	NA
1317	TMEM182	1	NA
1318	ST6GAL2	1	NA
1319	SULT1C3	1	NA
1320	SULT1C4	1	NA
1321	LIMS1	1	NA
1322	EDAR	1	NA
1323	ACOXL	1	NA
1324	FBLN7	1	NA
1325	ZC3H8	1	NA
1326	RGPD8	1	NA
1327	SLC20A1	1	NA
1328	NT5DC4	1	NA
1329	IL36A	1	NA
1330	IL36B	1	NA
1331	IL1RN	1	NA
1332	SCTR	1	NA
1333	PCDP1	1	NA
1334	TMEM177	1	NA
1335	PTPN4	1	NA
1336	AC114783.1	1	NA
1337	BIN1	1	NA
1338	ERCC3	1	NA
1339	MYO7B	1	NA
1340	LIMS2	1	NA
1341	CCDC74B	1	NA
1342	SMPD4	1	NA
1343	PTPN18	1	NA
1344	AC140481.2	1	NA
1345	PLEKHB2	1	NA
1346	POTEE	1	NA
1347	CYP4F31P	1	NA
1348	RAB3GAP1	1	NA
1349	ZRANB3	1	NA
1350	LCT	1	NA
1351	CXCR4	1	NA
1352	THSD7B	1	NA
1353	ORC4	1	NA
1354	MMADHC	1	NA
1355	RBM43	1	NA
1356	NMI	1	NA
1357	GALNT5	1	NA
1358	UPP2	1	NA
1359	PKP4	1	NA
1360	DAPL1	1	NA
1361	PLA2R1	1	NA
1362	ITGB6	1	NA
1363	GCA	1	NA
1364	PPIG	1	NA
1365	METTL8	1	NA
1366	DYNC1I2	1	NA
1367	SLC25A12	1	NA
1368	SCRN3	1	NA
1369	HOXD13	1	NA
1370	TTC30B	1	NA
1371	PRKRA	1	NA
1372	FKBP7	1	NA
1373	CERKL	1	NA
1374	SSFA2	1	NA
1375	ZNF804A	1	NA
1376	ITGAV	1	NA
1377	FAM171B	1	NA
1378	WDR75	1	NA
1379	ASNSD1	1	NA
1380	OSGEPL1	1	NA
1381	HIBCH	1	NA
1382	MFSD6	1	NA
1383	CCDC150	1	NA
1384	ANKRD44	1	NA
1385	PLCL1	1	NA
1386	C2orf47	1	NA
1387	SPATS2L	1	NA
1388	KCTD18	1	NA
1389	SGOL2	1	NA
1390	AOX1	1	NA
1391	NIF3L1	1	NA
1392	STRADB	1	NA
1393	MPP4	1	NA
1394	CDK15	1	NA
1395	ICA1L	1	NA
1396	CARF	1	NA
1397	NBEAL1	1	NA
1398	PARD3B	1	NA
1399	DYTN	1	NA
1400	MDH1B	1	NA
1401	CRYGA	1	NA
1402	PTH2R	1	NA
1403	UNC80	1	NA
1404	SPAG16	1	NA
1405	ABCA12	1	NA
1406	DIRC3	1	NA
1407	RUFY4	1	NA
1408	PLCD4	1	NA
1409	ZNF142	1	NA
1410	BCS1L	1	NA
1411	CYP27A1	1	NA
1412	WNT10A	1	NA
1413	CRYBA2	1	NA
1414	SLC23A3	1	NA
1415	STK16	1	NA
1416	DES	1	NA
1417	OBSL1	1	NA
1418	STK11IP	1	NA
1419	FAM124B	1	NA
1420	COL4A4	1	NA
1421	C2orf83	1	NA
1422	SP140L	1	NA
1423	SP100	1	NA
1424	CAB39	1	NA
1425	C2orf57	1	NA
1426	ALPI	1	NA
1427	CHRNG	1	NA
1428	TIGD1	1	NA
1429	UGT1A9	1	NA
1430	UGT1A6	1	NA
1431	HJURP	1	NA
1432	TRPM8	1	NA
1433	IQCA1	1	NA
1434	COL6A3	1	NA
1435	MLPH	1	NA
1436	AC079612.1	1	NA
1437	OR6B2	1	NA
1438	OTOS	1	NA
1439	ANKMY1	1	NA
1440	GPR35	1	NA
1441	AGXT	1	NA
1442	CNTN6	1	NA
1443	SETMAR	1	NA
1444	CIDEC	1	NA
1445	JAGN1	1	NA
1446	FANCD2	1	NA
1447	FANCD2OS	1	NA
1448	HRH1	1	NA
1449	ATG7	1	NA
1450	TSEN2	1	NA
1451	C3orf83	1	NA
1452	RAF1	1	NA
1453	CCDC174	1	NA
1454	DPH3	1	NA
1455	OXNAD1	1	NA
1456	RFTN1	1	NA
1457	SGOL1	1	NA
1458	TGFBR2	1	NA
1459	GADL1	1	NA
1460	OSBPL10	1	NA
1461	ZNF860	1	NA
1462	CNOT10	1	NA
1463	CLASP2	1	NA
1464	TRANK1	1	NA
1465	LRRFIP2	1	NA
1466	C3orf35	1	NA
1467	VILL	1	NA
1468	PLCD1	1	NA
1469	DLEC1	1	NA
1470	SLC22A13	1	NA
1471	SCN10A	1	NA
1472	SCN11A	1	NA
1473	XIRP1	1	NA
1474	SLC25A38	1	NA
1475	ZNF620	1	NA
1476	CCDC13	1	NA
1477	ZNF662	1	NA
1478	KRBOX1	1	NA
1479	ZKSCAN7	1	NA
1480	ZNF660	1	NA
1481	ZNF502	1	NA
1482	KIF15	1	NA
1483	SACM1L	1	NA
1484	CXCR6	1	NA
1485	CCRL2	1	NA
1486	ALS2CL	1	NA
1487	MYL3	1	NA
1488	NBEAL2	1	NA
1489	KIF9	1	NA
1490	ELP6	1	NA
1491	CDC25A	1	NA
1492	SPINK8	1	NA
1493	C3orf84	1	NA
1494	MST1	1	NA
1495	GNAT1	1	NA
1496	SLC38A3	1	NA
1497	CYB561D2	1	NA
1498	IQCF2	1	NA
1499	PARP3	1	NA
1500	ABHD14B	1	NA
1501	ALAS1	1	NA
1502	GLYCTK	1	NA
1503	DNAH1	1	NA
1504	SEMA3G	1	NA
1505	GNL3	1	NA
1506	GLT8D1	1	NA
1507	ITIH3	1	NA
1508	RFT1	1	NA
1509	CHDH	1	NA
1510	APPL1	1	NA
1511	DNASE1L3	1	NA
1512	ACOX2	1	NA
1513	SYNPR	1	NA
1514	MAGI1	1	NA
1515	SLC25A26	1	NA
1516	SHQ1	1	NA
1517	GBE1	1	NA
1518	OR5H2	1	NA
1519	OR5K2	1	NA
1520	DCBLD2	1	NA
1521	GPR128	1	NA
1522	ABI3BP	1	NA
1523	CCDC54	1	NA
1524	HHLA2	1	NA
1525	RETNLB	1	NA
1526	PVRL3	1	NA
1527	PHLDB2	1	NA
1528	SLC9C1	1	NA
1529	CD200R1L	1	NA
1530	WDR52	1	NA
1531	ZNF80	1	NA
1532	LSAMP	1	NA
1533	POPDC2	1	NA
1534	GPR156	1	NA
1535	FSTL1	1	NA
1536	CSTA	1	NA
1537	CCDC58	1	NA
1538	WDR5B	1	NA
1539	PARP9	1	NA
1540	PARP14	1	NA
1541	MYLK	1	NA
1542	CCDC14	1	NA
1543	KALRN	1	NA
1544	SLC12A8	1	NA
1545	ALG1L	1	NA
1546	SLC41A3	1	NA
1547	CCDC37	1	NA
1548	UROC1	1	NA
1549	TXNRD3NB	1	NA
1550	C3orf56	1	NA
1551	ABTB1	1	NA
1552	ACAD9	1	NA
1553	RP11-723O4.6	1	NA
1554	ISY1-RAB43	1	NA
1555	ACPP	1	NA
1556	DNAJC13	1	NA
1557	C3orf36	1	NA
1558	PPP2R3A	1	NA
1559	CLDN18	1	NA
1560	DZIP1L	1	NA
1561	A4GNT	1	NA
1562	ARMC8	1	NA
1563	C3orf72	1	NA
1564	TRIM42	1	NA
1565	PLS1	1	NA
1566	PLSCR4	1	NA
1567	PLSCR2	1	NA
1568	PLSCR1	1	NA
1569	GYG1	1	NA
1570	HLTF	1	NA
1571	HPS3	1	NA
1572	WWTR1	1	NA
1573	EIF2A	1	NA
1574	FAM194A	1	NA
1575	C3orf79	1	NA
1576	KCNAB1	1	NA
1577	MFSD1	1	NA
1578	LINC01100	1	NA
1579	SMC4	1	NA
1580	TRIM59	1	NA
1581	NMD3	1	NA
1582	ZBBX	1	NA
1583	SLC7A14	1	NA
1584	PLD1	1	NA
1585	SPATA16	1	NA
1586	KCNMB3	1	NA
1587	MRPL47	1	NA
1588	TTC14	1	NA
1589	CCDC39	1	NA
1590	YEATS2	1	NA
1591	PARL	1	NA
1592	HTR3D	1	NA
1593	HTR3E	1	NA
1594	ALG3	1	NA
1595	VPS8	1	NA
1596	EHHADH	1	NA
1597	DGKG	1	NA
1598	FETUB	1	NA
1599	LPP	1	NA
1600	TP63	1	NA
1601	CLDN16	1	NA
1602	CCDC50	1	NA
1603	CPN2	1	NA
1604	TMEM44	1	NA
1605	MUC4	1	NA
1606	SLC51A	1	NA
1607	SMCO1	1	NA
1608	PIGX	1	NA
1609	LRCH3	1	NA
1610	IQCG	1	NA
1611	ZNF595	1	NA
1612	ZNF732	1	NA
1613	PDE6B	1	NA
1614	MFSD7	1	NA
1615	IDUA	1	NA
1616	TMEM129	1	NA
1617	WHSC1	1	NA
1618	POLN	1	NA
1619	HAUS3	1	NA
1620	SH3BP2	1	NA
1621	ADD1	1	NA
1622	RGS12	1	NA
1623	LINC00955	1	NA
1624	OTOP1	1	NA
1625	STX18	1	NA
1626	EVC	1	NA
1627	PPP2R2C	1	NA
1628	SH3TC1	1	NA
1629	DEFB131	1	NA
1630	SLC2A9	1	NA
1631	CLNK	1	NA
1632	FGFBP1	1	NA
1633	LAP3	1	NA
1634	FAM184B	1	NA
1635	PACRGL	1	NA
1636	GBA3	1	NA
1637	SLC34A2	1	NA
1638	ARAP2	1	NA
1639	DTHD1	1	NA
1640	PTTG2	1	NA
1641	KLB	1	NA
1642	LIMCH1	1	NA
1643	ATP10D	1	NA
1644	CWH43	1	NA
1645	ERVMER34-1	1	NA
1646	LNX1	1	NA
1647	SRD5A3	1	NA
1648	PAICS	1	NA
1649	TMPRSS11A	1	NA
1650	UGT2B10	1	NA
1651	UGT2A3	1	NA
1652	UGT2B11	1	NA
1653	UGT2A1	1	NA
1654	CSN1S1	1	NA
1655	C4orf40	1	NA
1656	ODAM	1	NA
1657	SMR3B	1	NA
1658	MOB1B	1	NA
1659	GC	1	NA
1660	NPFFR2	1	NA
1661	ADAMTS3	1	NA
1662	AFP	1	NA
1663	AFM	1	NA
1664	CXCL6	1	NA
1665	MTHFD2L	1	NA
1666	CDKL2	1	NA
1667	CXCL11	1	NA
1668	CCDC158	1	NA
1669	CCNI	1	NA
1670	C4orf22	1	NA
1671	THAP9	1	NA
1672	HPSE	1	NA
1673	HSD17B13	1	NA
1674	NUDT9	1	NA
1675	SPARCL1	1	NA
1676	MEPE	1	NA
1677	SPP1	1	NA
1678	HERC5	1	NA
1679	TIGD2	1	NA
1680	RAP1GDS1	1	NA
1681	ADH1C	1	NA
1682	TRMT10A	1	NA
1683	MTTP	1	NA
1684	DDIT4L	1	NA
1685	UBE2D3	1	NA
1686	TBCK	1	NA
1687	AIMP1	1	NA
1688	CFI	1	NA
1689	ENPEP	1	NA
1690	ANK2	1	NA
1691	CEP170P1	1	NA
1692	MYOZ2	1	NA
1693	RP11-455G16.1	1	NA
1694	USP53	1	NA
1695	PDE5A	1	NA
1696	BBS7	1	NA
1697	NUDT6	1	NA
1698	HSPA4L	1	NA
1699	C4orf29	1	NA
1700	SCLT1	1	NA
1701	MAML3	1	NA
1702	RP11-542P2.1	1	NA
1703	GAB1	1	NA
1704	FREM3	1	NA
1705	SLC10A7	1	NA
1706	PRSS48	1	NA
1707	FHDC1	1	NA
1708	FGA	1	NA
1709	MAP9	1	NA
1710	TMEM144	1	NA
1711	PPID	1	NA
1712	TMA16	1	NA
1713	TMEM192	1	NA
1714	ANXA10	1	NA
1715	DDX60L	1	NA
1716	CBR4	1	NA
1717	NEK1	1	NA
1718	C4orf27	1	NA
1719	SAP30	1	NA
1720	HPGD	1	NA
1721	GLRA3	1	NA
1722	ADAM29	1	NA
1723	WDR17	1	NA
1724	ASB5	1	NA
1725	RP11-487E13.1	1	NA
1726	ENPP6	1	NA
1727	KIAA1430	1	NA
1728	CCDC110	1	NA
1729	KLKB1	1	NA
1730	F11	1	NA
1731	PLEKHG4B	1	NA
1732	EXOC3	1	NA
1733	CEP72	1	NA
1734	ZDHHC11	1	NA
1735	SLC12A7	1	NA
1736	SLC6A19	1	NA
1737	SLC6A18	1	NA
1738	KIAA0947	1	NA
1739	FASTKD3	1	NA
1740	SEMA5A	1	NA
1741	ROPN1L	1	NA
1742	DNAH5	1	NA
1743	FAM105A	1	NA
1744	FAM134B	1	NA
1745	C5orf17	1	NA
1746	GOLPH3	1	NA
1747	TARS	1	NA
1748	ADAMTS12	1	NA
1749	C1QTNF3	1	NA
1750	TTC23L	1	NA
1751	RAD1	1	NA
1752	DNAJC21	1	NA
1753	PRLR	1	NA
1754	CAPSL	1	NA
1755	UGT3A1	1	NA
1756	WDR70	1	NA
1757	OSMR	1	NA
1758	RPL37	1	NA
1759	C7	1	NA
1760	C6	1	NA
1761	ANXA2R	1	NA
1762	CCL28	1	NA
1763	C5orf34	1	NA
1764	MRPS30	1	NA
1765	NDUFS4	1	NA
1766	GZMA	1	NA
1767	MAP3K1	1	NA
1768	MIER3	1	NA
1769	ACTBL2	1	NA
1770	ELOVL7	1	NA
1771	DIMT1	1	NA
1772	RNF180	1	NA
1773	CD180	1	NA
1774	CCNB1	1	NA
1775	CCDC125	1	NA
1776	TAF9	1	NA
1777	RP11-195E2.1	1	NA
1778	BDP1	1	NA
1779	PTCD2	1	NA
1780	POLK	1	NA
1781	ANKDD1B	1	NA
1782	IQGAP2	1	NA
1783	S100Z	1	NA
1784	PDE8B	1	NA
1785	SCAMP1	1	NA
1786	ZFYVE16	1	NA
1787	RASGRF2	1	NA
1788	CKMT2	1	NA
1789	TMEM161B	1	NA
1790	MBLAC2	1	NA
1791	POLR3G	1	NA
1792	TTC37	1	NA
1793	GPR150	1	NA
1794	RHOBTB3	1	NA
1795	C5orf27	1	NA
1796	CAST	1	NA
1797	ERAP1	1	NA
1798	RIOK2	1	NA
1799	SLCO6A1	1	NA
1800	FBXL17	1	NA
1801	TMEM232	1	NA
1802	SLC25A46	1	NA
1803	TSLP	1	NA
1804	CAMK4	1	NA
1805	STARD4	1	NA
1806	EPB41L4A	1	NA
1807	ATG12	1	NA
1808	ARL14EPL	1	NA
1809	DMXL1	1	NA
1810	ZNF474	1	NA
1811	PPIC	1	NA
1812	MEGF10	1	NA
1813	SLC27A6	1	NA
1814	SLC22A4	1	NA
1815	CCNI2	1	NA
1816	ZCCHC10	1	NA
1817	C5orf20	1	NA
1818	IL9	1	NA
1819	SMAD5	1	NA
1820	PKD2L2	1	NA
1821	FAM13B	1	NA
1822	FAM53C	1	NA
1823	KDM3B	1	NA
1824	TMEM173	1	NA
1825	IGIP	1	NA
1826	APBB3	1	NA
1827	IK	1	NA
1828	PCDHA2	1	NA
1829	PCDHA3	1	NA
1830	PCDHA7	1	NA
1831	PCDHAC1	1	NA
1832	PCDHB3	1	NA
1833	PCDHB7	1	NA
1834	PCDHB14	1	NA
1835	PCDHB15	1	NA
1836	SLC25A2	1	NA
1837	PCDHGA3	1	NA
1838	PCDHGB3	1	NA
1839	PCDHGA6	1	NA
1840	PCDHGA9	1	NA
1841	PCDHGA10	1	NA
1842	PCDH12	1	NA
1843	PRELID2	1	NA
1844	SPINK5	1	NA
1845	SH3TC2	1	NA
1846	TCOF1	1	NA
1847	CD74	1	NA
1848	GRIA1	1	NA
1849	LARP1	1	NA
1850	FNDC9	1	NA
1851	ADAM19	1	NA
1852	FABP6	1	NA
1853	ATP10B	1	NA
1854	HMMR	1	NA
1855	SPDL1	1	NA
1856	BNIP1	1	NA
1857	CPEB4	1	NA
1858	NSG2	1	NA
1859	HK3	1	NA
1860	SLC34A1	1	NA
1861	DOK3	1	NA
1862	RMND5B	1	NA
1863	GRM6	1	NA
1864	ZNF354C	1	NA
1865	RASGEF1C	1	NA
1866	GFPT2	1	NA
1867	OR2V1	1	NA
1868	OR2V2	1	NA
1869	SERPINB9	1	NA
1870	NQO2	1	NA
1871	BPHL	1	NA
1872	SLC22A23	1	NA
1873	FAM217A	1	NA
1874	FARS2	1	NA
1875	F13A1	1	NA
1876	DSP	1	NA
1877	TMEM14B	1	NA
1878	ELOVL2	1	NA
1879	NEDD9	1	NA
1880	DTNBP1	1	NA
1881	DCDC2	1	NA
1882	TDP2	1	NA
1883	C6orf229	1	NA
1884	CMAHP	1	NA
1885	HIST1H2BA	1	NA
1886	SLC17A4	1	NA
1887	SLC17A1	1	NA
1888	SLC17A3	1	NA
1889	SLC17A2	1	NA
1890	TRIM38	1	NA
1891	HIST1H4B	1	NA
1892	HFE	1	NA
1893	HIST1H1T	1	NA
1894	HIST1H2BE	1	NA
1895	HIST1H4D	1	NA
1896	HIST1H4E	1	NA
1897	HIST1H2BG	1	NA
1898	HIST1H4F	1	NA
1899	BTN3A2	1	NA
1900	BTN2A3P	1	NA
1901	BTN3A3	1	NA
1902	ABT1	1	NA
1903	HIST1H2AH	1	NA
1904	OR2B2	1	NA
1905	ZSCAN9	1	NA
1906	ZSCAN31	1	NA
1907	ZKSCAN3	1	NA
1908	ZNF311	1	NA
1909	OR2B3	1	NA
1910	OR2J1	1	NA
1911	OR2J2	1	NA
1912	OR10C1	1	NA
1913	OR2H1	1	NA
1914	MAS1L	1	NA
1915	OR2H2	1	NA
1916	HLA-V	1	NA
1917	HLA-G	1	NA
1918	HLA-A	1	NA
1919	RNF39	1	NA
1920	TRIM31	1	NA
1921	TRIM40	1	NA
1922	TRIM15	1	NA
1923	CDSN	1	NA
1924	PSORS1C1	1	NA
1925	HCG27	1	NA
1926	HLA-B	1	NA
1927	AIF1	1	NA
1928	MSH5	1	NA
1929	SAPCD1	1	NA
1930	C2	1	NA
1931	SKIV2L	1	NA
1932	DXO	1	NA
1933	TNXB	1	NA
1934	EGFL8	1	NA
1935	AGER	1	NA
1936	SLC39A7	1	NA
1937	CUTA	1	NA
1938	BAK1	1	NA
1939	C6orf1	1	NA
1940	ANKS1A	1	NA
1941	CLPSL2	1	NA
1942	PNPLA1	1	NA
1943	SRSF3	1	NA
1944	COX6A1P2	1	NA
1945	BTBD9	1	NA
1946	KCNK16	1	NA
1947	DAAM2	1	NA
1948	MOCS1	1	NA
1949	UNC5CL	1	NA
1950	TSPO2	1	NA
1951	OARD1	1	NA
1952	TREM2	1	NA
1953	USP49	1	NA
1954	BYSL	1	NA
1955	MRPL2	1	NA
1956	CUL9	1	NA
1957	CRIP3	1	NA
1958	POLH	1	NA
1959	VEGFA	1	NA
1960	C6orf223	1	NA
1961	CAPN11	1	NA
1962	TCTE1	1	NA
1963	ENPP5	1	NA
1964	TDRD6	1	NA
1965	PLA2G7	1	NA
1966	CRISP1	1	NA
1967	DEFB112	1	NA
1968	GSTA2	1	NA
1969	ELOVL5	1	NA
1970	GFRAL	1	NA
1971	HMGCLL1	1	NA
1972	KIAA1586	1	NA
1973	EYS	1	NA
1974	LMBRD1	1	NA
1975	COL9A1	1	NA
1976	C6orf57	1	NA
1977	SMAP1	1	NA
1978	KHDC1	1	NA
1979	MB21D1	1	NA
1980	LCA5	1	NA
1981	TTK	1	NA
1982	PGM3	1	NA
1983	ME1	1	NA
1984	GJB7	1	NA
1985	C6orf164	1	NA
1986	C6ORF165	1	NA
1987	RARS2	1	NA
1988	GJA10	1	NA
1989	FBXL4	1	NA
1990	MCHR2	1	NA
1991	ASCC3	1	NA
1992	C6orf203	1	NA
1993	DDO	1	NA
1994	SLC22A16	1	NA
1995	RPF2	1	NA
1996	TUBE1	1	NA
1997	RFPL4B	1	NA
1998	ROS1	1	NA
1999	TBC1D32	1	NA
2000	TRDN	1	NA
