Gene	Estimate	SE	P.Wald	P.LRT	P.Score
481	PRTFDC1	-0.512	0.738	0.488	0.481	0.483
482	SLC26A5	0.511	0.738	0.488	0.482	0.484
483	JSRP1	-0.51	0.738	0.49	0.483	0.485
484	TBC1D31	-0.454	0.656	0.489	0.484	0.485
485	RGS11	-0.509	0.739	0.491	0.485	0.487
486	MIER3	-0.347	0.502	0.49	0.486	0.488
487	SLC22A10	-0.084	0.121	0.487	0.486	0.487
488	RP11-542P2.1	0.328	0.476	0.491	0.488	0.489
489	ASPSCR1	0.827	1.235	0.503	0.489	0.492
490	C14orf105	0.285	0.416	0.492	0.491	0.491
491	DIXDC1	-0.309	0.457	0.499	0.491	0.493
492	FBXW8	-0.444	0.655	0.498	0.494	0.495
493	LGALS12	0.818	1.234	0.507	0.494	0.496
494	SLC6A18	-0.086	0.126	0.494	0.494	0.494
495	MESP2	0.496	0.739	0.502	0.495	0.498
496	LIN37	0.084	0.125	0.498	0.497	0.498
497	OR51F1	-0.105	0.155	0.497	0.497	0.497
498	PRB4	0.493	0.738	0.504	0.497	0.5
499	RP11-114H24.2	-0.178	0.262	0.498	0.497	0.497
500	TNK1	-0.17	0.252	0.499	0.498	0.498
501	USP45	-0.24	0.356	0.501	0.498	0.499
502	CLHC1	0.437	0.653	0.504	0.499	0.501
503	PTGER3	-0.811	1.237	0.512	0.499	0.501
504	A3GALT2	0.279	0.416	0.502	0.501	0.501
505	OR4C16	-0.099	0.146	0.501	0.501	0.501
506	ZNF729	-0.832	1.275	0.514	0.501	0.504
507	TRIM40	-0.49	0.74	0.508	0.502	0.504
508	CTA-992D9.6	0.227	0.34	0.504	0.503	0.503
509	GPR33	0.801	1.234	0.516	0.503	0.506
510	LIPM	0.431	0.653	0.509	0.504	0.506
511	PSG6	0.802	1.238	0.517	0.504	0.507
512	TMEM78	-0.264	0.396	0.506	0.504	0.505
513	OR1S1	-0.101	0.152	0.506	0.506	0.506
514	TRPM1	0.196	0.294	0.507	0.506	0.506
515	ZNF648	0.798	1.237	0.519	0.506	0.509
516	TEKT1	0.791	1.233	0.521	0.508	0.511
517	GRP	0.204	0.311	0.512	0.51	0.511
518	TCHP	0.788	1.233	0.523	0.51	0.513
519	C12orf73	0.785	1.232	0.524	0.511	0.514
520	BNIP1	0.478	0.739	0.518	0.512	0.515
521	BPIFA2	0.781	1.234	0.527	0.514	0.517
522	A2ML1	0.174	0.268	0.515	0.515	0.515
523	CLEC4C	0.778	1.237	0.529	0.517	0.52
524	PGM1	-0.347	0.541	0.521	0.517	0.519
525	TRIT1	-0.774	1.232	0.53	0.517	0.52
526	POLR3F	0.774	1.237	0.532	0.519	0.522
527	CD163L1	0.771	1.235	0.532	0.52	0.523
528	FAM198B	0.77	1.234	0.533	0.52	0.523
529	ANKAR	0.772	1.239	0.533	0.521	0.524
530	C3orf79	-0.267	0.421	0.525	0.523	0.524
531	HLA-G	0.412	0.654	0.529	0.524	0.526
532	LY75-CD302	0.76	1.23	0.537	0.524	0.528
533	MST1	-0.302	0.476	0.526	0.524	0.525
534	SPINK5	-0.414	0.655	0.528	0.524	0.525
535	AGL	-0.761	1.236	0.538	0.526	0.529
536	HEATR5A	0.756	1.23	0.539	0.526	0.53
537	C11orf21	-0.299	0.477	0.53	0.527	0.528
538	MYO7A	0.757	1.234	0.54	0.527	0.53
539	PPP1R42	0.753	1.232	0.541	0.528	0.532
540	C8B	0.753	1.233	0.541	0.529	0.532
541	KLHL33	-0.753	1.232	0.541	0.529	0.532
542	USP40	0.752	1.231	0.541	0.529	0.532
543	ADCK2	-0.751	1.232	0.543	0.53	0.534
544	CAPN11	-0.212	0.339	0.531	0.53	0.531
545	ZNF443	0.068	0.109	0.53	0.53	0.53
546	DCD	0.75	1.233	0.543	0.531	0.534
547	DNAH12	-0.751	1.235	0.543	0.531	0.534
548	FLG2	-0.115	0.185	0.533	0.532	0.533
549	OR4C11	-0.103	0.165	0.532	0.532	0.532
550	ZSCAN9	0.184	0.295	0.533	0.532	0.532
551	FAM71A	0.745	1.234	0.546	0.534	0.537
552	ITSN1	-0.745	1.234	0.546	0.534	0.538
553	SCN7A	0.369	0.597	0.537	0.534	0.535
554	C19orf80	0.744	1.236	0.547	0.535	0.539
555	FAM57B	0.741	1.232	0.547	0.535	0.539
556	OR52L1	0.741	1.233	0.548	0.536	0.539
557	TRMT2A	0.365	0.595	0.539	0.536	0.537
558	OR5M1	0.097	0.157	0.537	0.537	0.537
559	SPAG16	-0.737	1.23	0.549	0.537	0.541
560	BRIP1	0.739	1.234	0.549	0.538	0.541
561	ERAP1	-0.734	1.234	0.552	0.54	0.544
562	KIAA0586	-0.731	1.231	0.552	0.54	0.544
563	NUDT6	-0.73	1.229	0.552	0.54	0.544
564	PLD2	-0.732	1.229	0.552	0.54	0.543
565	SMARCB1	-0.733	1.231	0.552	0.54	0.543
566	TMC7	-0.733	1.231	0.552	0.54	0.543
567	HMCN2	0.263	0.433	0.543	0.541	0.542
568	ACAD11	0.361	0.596	0.546	0.543	0.544
569	ACTRT1	-0.726	1.23	0.555	0.543	0.547
570	CCDC39	-0.445	0.743	0.549	0.543	0.546
571	DEFA6	-0.726	1.229	0.555	0.543	0.546
572	FASTKD1	-0.241	0.399	0.545	0.543	0.544
573	GS1-259H13.2	0.727	1.23	0.554	0.543	0.546
574	ZNF529	-0.726	1.23	0.555	0.543	0.547
575	KRT36	-0.725	1.23	0.556	0.544	0.547
576	LAMB4	-0.393	0.654	0.548	0.544	0.546
577	MPO	-0.359	0.595	0.547	0.544	0.545
578	OTOP1	0.724	1.229	0.556	0.544	0.547
579	C17orf107	0.724	1.231	0.557	0.545	0.549
580	OR13A1	-0.216	0.358	0.547	0.545	0.546
581	CCRL2	-0.723	1.233	0.557	0.546	0.549
582	ZC2HC1C	-0.721	1.23	0.558	0.546	0.55
583	NBPF20	-0.719	1.231	0.559	0.547	0.551
584	ENTHD1	-0.389	0.653	0.552	0.548	0.549
585	CNGB3	-0.715	1.23	0.561	0.549	0.553
586	OXA1L	-0.716	1.231	0.561	0.549	0.553
587	UGT2B10	0.091	0.153	0.55	0.549	0.549
588	ANKRD36	-0.719	1.238	0.562	0.55	0.554
589	C1orf141	0.387	0.654	0.554	0.55	0.551
590	NRIP2	0.714	1.231	0.562	0.55	0.554
591	OR10C1	-0.714	1.228	0.561	0.55	0.553
592	ZNF596	0.714	1.229	0.561	0.55	0.553
593	ARHGAP40	-0.712	1.229	0.562	0.551	0.554
594	CYP4B1	-0.106	0.178	0.551	0.551	0.551
595	OVCH1	-0.713	1.231	0.563	0.551	0.555
596	SCGB1D1	-0.712	1.23	0.563	0.551	0.555
597	SPATS2	-0.713	1.23	0.562	0.551	0.554
598	RP11-187E13.2	0.711	1.231	0.564	0.552	0.556
599	CCDC18	0.709	1.229	0.564	0.553	0.556
600	GAB4	-0.081	0.136	0.553	0.553	0.553
601	CLDN16	-0.09	0.151	0.554	0.554	0.554
602	FAM160A1	0.706	1.229	0.565	0.554	0.558
603	PPP2R1B	0.709	1.232	0.565	0.554	0.557
604	PDIA2	-0.234	0.399	0.558	0.555	0.556
605	C11orf94	-0.703	1.229	0.567	0.556	0.559
606	CPA4	-0.705	1.234	0.567	0.556	0.56
607	KIAA1919	0.302	0.514	0.557	0.556	0.556
608	MEOX2	-0.174	0.298	0.56	0.557	0.558
609	SYDE2	0.702	1.23	0.568	0.557	0.56
610	SLCO1B3	0.701	1.231	0.569	0.558	0.561
611	ALS2CR11	-0.699	1.231	0.57	0.559	0.563
612	DGKD	0.7	1.232	0.57	0.559	0.562
613	RRP8	-0.699	1.23	0.57	0.559	0.563
614	CCDC73	0.694	1.23	0.572	0.561	0.565
615	RETNLB	-0.095	0.164	0.561	0.561	0.561
616	TRAPPC11	-0.695	1.231	0.572	0.561	0.565
617	UNC93A	0.119	0.206	0.562	0.561	0.561
618	MFSD1	0.693	1.23	0.573	0.562	0.566
619	SPG7	-0.692	1.229	0.573	0.562	0.566
620	ZFAND4	-0.693	1.23	0.573	0.562	0.566
621	ADAM32	0.691	1.229	0.574	0.563	0.567
622	CCDC141	-0.692	1.234	0.575	0.564	0.568
623	CENPF	0.692	1.233	0.574	0.564	0.567
624	ADAM20	-0.687	1.228	0.576	0.565	0.569
625	MYBPC2	0.691	1.234	0.576	0.565	0.569
626	PXMP2	-0.691	1.235	0.576	0.565	0.569
627	TGM6	0.689	1.231	0.576	0.565	0.568
628	ZFAND1	0.691	1.235	0.576	0.565	0.569
629	ABTB1	0.686	1.229	0.577	0.566	0.57
630	CTBP2	-0.686	1.23	0.577	0.566	0.57
631	DNAH8	0.686	1.229	0.577	0.566	0.569
632	FAM83A	0.538	0.948	0.57	0.566	0.566
633	SPATA4	-0.118	0.206	0.566	0.566	0.566
634	ASB15	0.215	0.375	0.567	0.567	0.567
635	CARD8	-0.158	0.277	0.567	0.567	0.567
636	COL15A1	-0.686	1.233	0.578	0.567	0.571
637	SLC22A11	0.688	1.236	0.578	0.567	0.571
638	ZNF841	0.686	1.232	0.577	0.567	0.57
639	C1orf185	-0.686	1.234	0.579	0.568	0.572
640	DNASE1	0.682	1.23	0.579	0.568	0.572
641	MCHR2	0.682	1.229	0.579	0.568	0.572
642	NPHP4	0.06	0.105	0.568	0.568	0.568
643	CRHR2	-0.68	1.23	0.58	0.569	0.573
644	ZNF343	-0.681	1.231	0.58	0.569	0.573
645	PDE3B	-0.682	1.234	0.581	0.57	0.574
646	ZBP1	-0.206	0.363	0.571	0.57	0.57
647	FAM111B	-0.234	0.414	0.572	0.571	0.571
648	HTRA4	-0.679	1.231	0.581	0.571	0.574
649	C3orf52	0.677	1.231	0.582	0.572	0.576
650	COL6A6	-0.677	1.231	0.583	0.572	0.576
651	LAMC3	0.677	1.232	0.583	0.572	0.576
652	ALDH1A2	0.106	0.188	0.573	0.573	0.573
653	IMPG2	-0.673	1.229	0.584	0.573	0.577
654	ZNF599	0.273	0.486	0.574	0.573	0.573
655	IGFLR1	0.673	1.23	0.584	0.574	0.578
656	C1orf94	-0.672	1.234	0.586	0.576	0.58
657	CASP4	-0.671	1.233	0.586	0.576	0.58
658	BBS10	0.667	1.229	0.587	0.577	0.58
659	C1orf101	0.668	1.231	0.588	0.577	0.581
660	MYOF	0.674	1.242	0.587	0.577	0.581
661	C6	-0.665	1.23	0.589	0.578	0.582
662	ENO4	0.666	1.23	0.589	0.578	0.582
663	SP100	-0.666	1.233	0.589	0.578	0.582
664	ANKRD35	0.665	1.232	0.589	0.579	0.583
665	OR4P4	-0.097	0.175	0.579	0.579	0.579
666	OR51E1	0.663	1.23	0.59	0.579	0.583
667	STK31	-0.666	1.233	0.589	0.579	0.583
668	ANKRD30A	-0.327	0.595	0.582	0.58	0.581
669	EXO1	-0.667	1.236	0.59	0.58	0.583
670	LRRC9	0.139	0.253	0.581	0.58	0.58
671	OR2T11	0.662	1.23	0.59	0.58	0.584
672	TRAV2	-0.662	1.234	0.591	0.581	0.585
673	ZNF626	0.66	1.231	0.592	0.581	0.585
674	ABCA9	-0.66	1.23	0.592	0.582	0.586
675	CSF2RB	-0.663	1.239	0.592	0.582	0.586
676	ZNF44	-0.659	1.23	0.592	0.582	0.586
677	DNAH11	-0.662	1.237	0.593	0.583	0.586
678	ENTPD8	0.657	1.232	0.594	0.583	0.587
679	BPIFB4	-0.656	1.232	0.594	0.584	0.588
680	C10orf53	-0.657	1.232	0.594	0.584	0.588
681	TPPP2	0.507	0.937	0.588	0.584	0.585
682	VRK2	0.655	1.23	0.594	0.584	0.588
683	AP1G2	-0.655	1.232	0.595	0.585	0.589
684	DUOXA2	0.655	1.231	0.595	0.585	0.589
685	GARS	0.502	0.929	0.589	0.585	0.586
686	DUOX2	0.654	1.233	0.596	0.586	0.59
687	MMP21	-0.651	1.23	0.596	0.586	0.59
688	CBLC	-0.662	1.251	0.597	0.587	0.591
689	OVCH2	0.066	0.121	0.587	0.587	0.587
690	PPP1R12C	0.663	1.251	0.596	0.587	0.591
691	STK33	0.115	0.212	0.587	0.587	0.587
692	FAM26F	-0.65	1.233	0.598	0.588	0.592
693	LRRC70	-0.65	1.233	0.598	0.588	0.592
694	MFSD6L	-0.65	1.233	0.598	0.588	0.592
695	NUDT9	0.649	1.23	0.598	0.588	0.592
696	UBE2W	0.178	0.33	0.59	0.589	0.589
697	MMP19	-0.646	1.232	0.6	0.59	0.594
698	ZCCHC4	0.646	1.231	0.6	0.59	0.594
699	BFSP1	-0.645	1.233	0.601	0.591	0.595
700	C6orf123	0.654	1.249	0.601	0.591	0.595
701	NAT1	-0.644	1.23	0.601	0.591	0.595
702	RBM26	0.295	0.552	0.593	0.591	0.591
703	MAGEB16	0.071	0.132	0.592	0.592	0.592
704	WDR3	0.642	1.232	0.602	0.592	0.596
705	OR51T1	-0.292	0.549	0.595	0.593	0.594
706	TANC1	-0.64	1.232	0.603	0.593	0.597
707	ENPEP	-0.274	0.518	0.597	0.594	0.595
708	IGHV6-1	0.65	1.25	0.603	0.594	0.597
709	ABCC6	0.637	1.232	0.605	0.595	0.599
710	CCDC168	-0.638	1.232	0.604	0.595	0.599
711	FCRL3	0.484	0.921	0.599	0.595	0.596
712	PKHD1L1	-0.161	0.304	0.597	0.596	0.596
713	WRN	-0.638	1.235	0.605	0.596	0.6
714	BCLAF1	0.634	1.231	0.607	0.597	0.601
715	MCTP2	-0.635	1.235	0.607	0.598	0.602
716	TRIM60	0.631	1.232	0.609	0.599	0.603
717	CLECL1	-0.067	0.128	0.6	0.6	0.6
718	CYP3A43	-0.164	0.314	0.601	0.6	0.601
719	EPB41L4A	0.092	0.175	0.6	0.6	0.6
720	FIGNL1	0.629	1.232	0.61	0.6	0.604
721	LAMB2	0.652	1.274	0.609	0.6	0.604
722	OR51I1	-0.235	0.449	0.601	0.6	0.6
723	OR10Q1	-0.633	1.242	0.61	0.601	0.605
724	TRAV26-2	0.628	1.233	0.611	0.601	0.605
725	HORMAD2	0.627	1.236	0.612	0.602	0.606
726	ZNF117	-0.129	0.248	0.603	0.602	0.602
727	HSPB3	0.625	1.233	0.612	0.603	0.607
728	LTBP4	-0.056	0.108	0.603	0.603	0.603
729	OVCH1-AS1	-0.623	1.232	0.613	0.603	0.608
730	KRT83	-0.284	0.551	0.606	0.604	0.605
731	OR51G1	0.285	0.551	0.605	0.604	0.604
732	KDM2B	0.472	0.923	0.609	0.605	0.606
733	ACOX2	0.617	1.232	0.617	0.607	0.611
734	ZNF812	-0.117	0.228	0.608	0.607	0.607
735	APIP	-0.616	1.232	0.617	0.608	0.612
736	RP11-1396O13.13	-0.067	0.132	0.609	0.608	0.609
737	BST1	-0.091	0.178	0.609	0.609	0.609
738	GSTA5	-0.617	1.237	0.618	0.609	0.613
739	CAPN14	0.467	0.924	0.614	0.61	0.611
740	SULT1C3	0.247	0.485	0.611	0.61	0.61
741	ZNF846	-0.613	1.233	0.619	0.61	0.614
742	HLA-DPB1	-0.069	0.136	0.611	0.611	0.611
743	HSD17B2	0.626	1.261	0.62	0.611	0.615
744	SPATA8	-0.102	0.2	0.612	0.612	0.612
745	DCHS2	-0.129	0.255	0.613	0.613	0.613
746	TEX26	-0.066	0.13	0.613	0.613	0.613
747	BLK	-0.607	1.235	0.623	0.614	0.618
748	ZNF154	-0.246	0.488	0.615	0.614	0.614
749	LOXL3	-0.458	0.921	0.619	0.615	0.616
750	CACNB2	-0.607	1.245	0.626	0.617	0.621
751	OR2H1	0.618	1.269	0.627	0.618	0.622
752	ZNF844	-0.295	0.595	0.62	0.618	0.619
753	ABCC1	0.452	0.92	0.623	0.619	0.62
754	LAMA2	-0.6	1.236	0.628	0.619	0.623
755	MICB	0.622	1.284	0.628	0.62	0.623
756	RP11-160N1.10	0.135	0.273	0.62	0.62	0.62
757	RPL3L	0.451	0.92	0.624	0.62	0.621
758	CBWD3	0.071	0.145	0.621	0.621	0.621
759	ZNF486	-0.595	1.233	0.629	0.621	0.625
760	DNAI1	-0.449	0.92	0.625	0.622	0.622
761	PTTG2	-0.291	0.596	0.625	0.623	0.624
762	TTLL3	-0.145	0.295	0.623	0.623	0.623
763	PPEF2	-0.592	1.24	0.633	0.624	0.628
764	AGBL1	-0.444	0.919	0.629	0.625	0.626
765	AMZ2	-0.589	1.236	0.634	0.625	0.629
766	C4orf27	-0.453	0.962	0.638	0.625	0.628
767	LILRA3	-0.234	0.485	0.629	0.625	0.627
768	ARGFX	0.443	0.918	0.629	0.626	0.627
769	CASP12	-0.033	0.068	0.627	0.626	0.627
770	SDR42E1	-0.091	0.187	0.626	0.626	0.626
771	UBXN11	-0.386	0.797	0.628	0.626	0.627
772	ATP13A5	0.163	0.335	0.628	0.627	0.628
773	FAM47E-STBD1	-0.585	1.236	0.636	0.627	0.631
774	SHPK	-0.585	1.235	0.636	0.627	0.631
775	MPRIP	0.125	0.258	0.629	0.629	0.629
776	DHRS4L2	0.144	0.299	0.63	0.63	0.63
777	DOCK6	0.438	0.919	0.634	0.63	0.631
778	TPTE	0.13	0.27	0.632	0.632	0.632
779	DAPL1	-0.436	0.923	0.637	0.633	0.634
780	SFXN3	-0.433	0.92	0.638	0.634	0.635
781	C6orf203	0.431	0.92	0.639	0.636	0.637
782	CARF	-0.432	0.921	0.639	0.636	0.637
783	OR2A7	-0.43	0.921	0.64	0.637	0.638
784	SPTBN5	0.217	0.461	0.638	0.637	0.637
785	GPLD1	-0.428	0.92	0.642	0.638	0.64
786	HELB	0.197	0.421	0.64	0.639	0.639
787	NOP2	0.427	0.919	0.642	0.639	0.64
788	SIX1	-0.103	0.22	0.64	0.639	0.639
789	ZIM3	0.196	0.421	0.641	0.64	0.641
790	ABCC2	-0.425	0.921	0.644	0.641	0.642
791	CNTRL	-0.424	0.919	0.644	0.641	0.642
792	SARM1	-0.046	0.099	0.641	0.641	0.641
793	KIAA0408	-0.562	1.242	0.651	0.643	0.647
794	ZNF474	0.154	0.333	0.643	0.643	0.643
795	DNAJB7	-0.325	0.707	0.646	0.645	0.645
796	MYEF2	-0.419	0.919	0.648	0.645	0.646
797	NACA2	-0.083	0.181	0.645	0.645	0.645
798	IDO2	0.076	0.166	0.646	0.646	0.646
799	MPEG1	-0.561	1.249	0.654	0.646	0.65
800	FRG1B	-0.177	0.387	0.647	0.647	0.647
801	SIGLEC12	-0.067	0.147	0.647	0.647	0.647
802	FAM166A	-0.415	0.921	0.652	0.649	0.65
803	KRTAP4-7	-0.414	0.921	0.653	0.65	0.651
804	LTK	-0.412	0.919	0.654	0.651	0.652
805	RNF32	0.176	0.392	0.653	0.652	0.652
806	CAB39	0.411	0.923	0.656	0.653	0.654
807	CCDC178	-0.408	0.918	0.657	0.654	0.655
808	P2RY4	0.408	0.918	0.657	0.654	0.655
809	TLCD2	0.408	0.921	0.658	0.655	0.656
810	C9	0.405	0.919	0.659	0.656	0.657
811	FOLH1B	-0.122	0.275	0.657	0.656	0.657
812	TRGC1	0.405	0.918	0.659	0.656	0.657
813	SMAD5	0.202	0.461	0.661	0.658	0.659
814	PRDM2	-0.201	0.459	0.661	0.659	0.66
815	PTPN4	-0.402	0.919	0.662	0.659	0.66
816	AGMO	0.4	0.919	0.664	0.66	0.662
817	LRRC69	0.201	0.461	0.663	0.661	0.662
818	HMGXB4	-0.159	0.364	0.663	0.662	0.663
819	PSG9	-0.116	0.266	0.662	0.662	0.662
820	RAPGEF3	-0.396	0.919	0.667	0.663	0.665
821	SNAPC1	0.397	0.922	0.666	0.663	0.664
822	VWDE	0.051	0.118	0.663	0.663	0.663
823	BTN3A3	-0.527	1.242	0.671	0.664	0.668
824	PGBD4	0.396	0.92	0.667	0.664	0.665
825	UPB1	-0.395	0.919	0.667	0.664	0.665
826	HMMR	-0.534	1.259	0.672	0.665	0.669
827	SDSL	0.335	0.776	0.666	0.665	0.665
828	TSC2	0.395	0.919	0.668	0.665	0.666
829	LSAMP	-0.21	0.486	0.667	0.666	0.666
830	MYH15	0.393	0.918	0.669	0.666	0.667
831	C9orf152	0.18	0.421	0.668	0.668	0.668
832	PARP14	0.391	0.921	0.671	0.668	0.669
833	PCDHGA10	0.391	0.919	0.671	0.668	0.669
834	PIGN	-0.09	0.211	0.668	0.668	0.668
835	SLC22A24	0.061	0.141	0.668	0.668	0.668
836	TTN	0.329	0.772	0.67	0.668	0.668
837	CCNI2	-0.519	1.243	0.676	0.669	0.673
838	IFNA5	-0.39	0.92	0.672	0.669	0.67
839	OR1B1	0.059	0.138	0.669	0.669	0.669
840	SHROOM4	-0.237	0.558	0.671	0.67	0.671
841	NPC2	-0.327	0.773	0.672	0.671	0.671
842	FAM221A	0.387	0.922	0.675	0.672	0.673
843	OR8B3	-0.129	0.306	0.673	0.672	0.672
844	OR13C5	-0.086	0.203	0.673	0.673	0.673
845	CRYBA4	0.324	0.775	0.676	0.674	0.675
846	SLC13A1	-0.381	0.921	0.679	0.676	0.677
847	MADD	0.119	0.288	0.678	0.678	0.678
848	SULT1C4	-0.379	0.92	0.681	0.678	0.679
849	VIT	0.378	0.92	0.681	0.678	0.679
850	RP11-195E2.1	-0.18	0.438	0.681	0.679	0.679
851	TBC1D29	0.104	0.253	0.679	0.679	0.679
852	CEP78	0.375	0.92	0.684	0.681	0.682
853	SPNS3	0.315	0.771	0.683	0.681	0.681
854	COL6A5	-0.05	0.123	0.682	0.682	0.682
855	KIAA0141	-0.316	0.782	0.686	0.682	0.683
856	AL136531.1	0.371	0.921	0.687	0.684	0.686
857	BORA	0.277	0.683	0.685	0.684	0.684
858	APOBEC1	0.311	0.772	0.687	0.685	0.686
859	IGHV3-48	-0.031	0.077	0.685	0.685	0.685
860	ITGAD	-0.371	0.922	0.687	0.685	0.686
861	TRIM38	0.369	0.919	0.688	0.685	0.686
862	C1orf116	-0.308	0.771	0.69	0.688	0.689
863	FAM154B	-0.308	0.771	0.69	0.688	0.689
864	UBE2NL	0.056	0.14	0.689	0.689	0.689
865	GUCA1C	0.055	0.138	0.69	0.69	0.69
866	SLC4A3	0.246	0.618	0.69	0.69	0.69
867	GP1BA	-0.363	0.922	0.694	0.691	0.692
868	IGSF10	0.27	0.685	0.693	0.691	0.691
869	COL26A1	0.055	0.14	0.692	0.692	0.692
870	MLNR	0.362	0.922	0.695	0.692	0.694
871	LPA	-0.137	0.349	0.695	0.694	0.694
872	PCDHB13	-0.358	0.919	0.697	0.694	0.696
873	ATP8B3	0.117	0.298	0.696	0.695	0.695
874	ITIH5	0.267	0.685	0.697	0.695	0.695
875	OR7G3	-0.118	0.301	0.696	0.695	0.696
876	IFNA17	0.131	0.34	0.7	0.7	0.7
877	C7orf50	-0.236	0.617	0.702	0.701	0.701
878	ARID4A	-0.292	0.77	0.704	0.703	0.703
879	PRPS1L1	-0.144	0.378	0.703	0.703	0.703
880	ALDH1B1	0.293	0.775	0.705	0.704	0.705
881	OR6Q1	-0.063	0.166	0.704	0.704	0.704
882	POLQ	0.292	0.772	0.706	0.704	0.705
883	MICU2	0.29	0.77	0.706	0.705	0.706
884	OR10X1	0.048	0.127	0.705	0.705	0.705
885	USP15	-0.148	0.391	0.705	0.705	0.705
886	CHMP4C	-0.125	0.332	0.707	0.706	0.707
887	GRK4	0.388	1.058	0.714	0.707	0.711
888	OR51B5	-0.117	0.313	0.708	0.708	0.708
889	DNAJC28	0.058	0.155	0.709	0.709	0.709
890	SLC22A14	0.152	0.408	0.709	0.709	0.709
891	C1orf189	-0.251	0.678	0.711	0.71	0.71
892	SCAPER	0.052	0.142	0.712	0.711	0.711
893	OR5H15	0.185	0.503	0.713	0.712	0.712
894	PIK3R6	-0.147	0.4	0.713	0.712	0.713
895	SERPINA12	-0.283	0.772	0.714	0.713	0.713
896	CGNL1	0.248	0.678	0.715	0.714	0.714
897	HLA-DQB1	0.047	0.127	0.714	0.714	0.714
898	IGFN1	-0.334	0.921	0.716	0.714	0.715
899	SLC3A1	0.081	0.223	0.715	0.715	0.715
900	C2	0.28	0.774	0.717	0.716	0.716
901	GNLY	-0.279	0.77	0.717	0.716	0.716
902	CD200R1L	0.048	0.133	0.717	0.717	0.717
903	PPIG	-0.07	0.192	0.717	0.717	0.717
904	FAM71E1	0.278	0.781	0.722	0.718	0.72
905	NQO1	0.357	1.024	0.727	0.721	0.724
906	RP11-362K2.2	-0.241	0.678	0.722	0.721	0.721
907	ZNF544	-0.244	0.692	0.725	0.724	0.724
908	ZNF660	-0.239	0.679	0.725	0.724	0.724
909	ARMS2	0.061	0.175	0.726	0.726	0.726
910	FMO2	-0.107	0.307	0.729	0.729	0.729
911	SLTM	-0.117	0.338	0.729	0.729	0.729
912	LGALS8	-0.12	0.349	0.73	0.73	0.73
913	RP11-486A14.2	0.046	0.135	0.731	0.731	0.731
914	MAGEC1	0.232	0.684	0.734	0.732	0.733
915	DOLK	-0.193	0.568	0.733	0.733	0.733
916	XRCC4	0.078	0.231	0.734	0.734	0.734
917	IGLV2-11	0.11	0.325	0.735	0.735	0.735
918	SLC22A25	0.178	0.528	0.736	0.735	0.735
919	ACADL	0.227	0.68	0.738	0.737	0.738
920	C1orf127	0.111	0.33	0.737	0.737	0.737
921	EFCAB5	-0.12	0.356	0.737	0.737	0.737
922	SLFNL1	0.258	0.772	0.738	0.737	0.737
923	PNPLA7	0.226	0.678	0.739	0.738	0.738
924	TRBV3-1	0.022	0.066	0.739	0.739	0.739
925	LAD1	0.204	0.614	0.74	0.74	0.74
926	HIBCH	-0.043	0.13	0.741	0.741	0.741
927	KRTAP10-1	-0.022	0.067	0.743	0.743	0.743
928	WDR87	-0.251	0.771	0.744	0.743	0.744
929	RBKS	0.2	0.616	0.746	0.745	0.746
930	LOXHD1	-0.122	0.382	0.75	0.749	0.75
931	ZNF528	-0.246	0.772	0.75	0.749	0.75
932	FAM90A1	-0.158	0.502	0.754	0.753	0.753
933	PRIM2	0.191	0.607	0.753	0.753	0.753
934	OR4D6	0.178	0.57	0.755	0.754	0.754
935	OR8G1	0.041	0.131	0.754	0.754	0.754
936	DIRC3	0.063	0.2	0.755	0.755	0.755
937	MS4A12	0.042	0.133	0.755	0.755	0.755
938	G2E3	-0.108	0.349	0.756	0.756	0.756
939	ZMYM5	-0.237	0.772	0.759	0.758	0.759
940	DNAJC11	-0.074	0.242	0.759	0.759	0.759
941	EFCAB6	-0.188	0.613	0.76	0.759	0.759
942	ZNF419	0.042	0.136	0.759	0.759	0.759
943	SIX3	-0.207	0.681	0.761	0.76	0.76
944	C2orf57	0.253	0.848	0.765	0.763	0.764
945	CCL26	-0.185	0.615	0.764	0.763	0.763
946	MRGPRX3	0.068	0.226	0.764	0.764	0.764
947	MLKL	0.203	0.68	0.765	0.765	0.765
948	TRAV26-1	-0.075	0.255	0.768	0.768	0.768
949	ACIN1	0.11	0.373	0.769	0.769	0.769
950	DNAH14	0.061	0.208	0.77	0.77	0.77
951	PRSS57	0.198	0.683	0.772	0.771	0.771
952	NLRP13	-0.141	0.497	0.776	0.776	0.776
953	KNOP1	-0.218	0.774	0.779	0.778	0.778
954	OR10AD1	0.044	0.156	0.78	0.78	0.78
955	OR5AR1	0.036	0.129	0.78	0.78	0.78
956	TMPRSS4	0.037	0.134	0.78	0.78	0.78
957	ZNF880	0.036	0.129	0.78	0.78	0.78
958	MS4A14	-0.035	0.126	0.784	0.784	0.784
959	HLA-V	-0.185	0.683	0.786	0.786	0.786
960	PPIC	-0.166	0.615	0.787	0.786	0.786
961	TMEM177	-0.167	0.614	0.786	0.786	0.786
962	CES5A	-0.056	0.209	0.788	0.788	0.788
963	TSPO2	0.103	0.383	0.789	0.788	0.788
964	MMP8	0.124	0.469	0.791	0.791	0.791
965	HTR3D	0.034	0.13	0.792	0.792	0.792
966	CCDC66	-0.159	0.614	0.796	0.795	0.795
967	DSC2	0.137	0.528	0.796	0.795	0.795
